utc,mpt,kw,tmpf
2015-01-01 07:00:00,2015-01-01 00:00:00,412.61536027600005,5.0
2015-01-01 08:00:00,2015-01-01 01:00:00,404.935956943,6.98
2015-01-01 09:00:00,2015-01-01 02:00:00,394.27728361299995,8.06
2015-01-01 10:00:00,2015-01-01 03:00:00,402.20924278,6.98
2015-01-01 11:00:00,2015-01-01 04:00:00,406.39751778,10.04
2015-01-01 12:00:00,2015-01-01 05:00:00,408.112414167,6.08
2015-01-01 13:00:00,2015-01-01 06:00:00,400.83335166800003,8.06
2015-01-01 14:00:00,2015-01-01 07:00:00,413.745204725,6.98
2015-01-01 15:00:00,2015-01-01 08:00:00,403.569810557,8.96
2015-01-01 16:00:00,2015-01-01 09:00:00,393.774434722,12.02
2015-01-01 17:00:00,2015-01-01 10:00:00,338.383722776,15.08
2015-01-01 18:00:00,2015-01-01 11:00:00,318.611621946,21.02
2015-01-01 19:00:00,2015-01-01 12:00:00,256.95590972400004,24.98
2015-01-01 20:00:00,2015-01-01 13:00:00,196.103395555,23.0
2015-01-01 21:00:00,2015-01-01 14:00:00,203.71666138999998,23.0
2015-01-01 22:00:00,2015-01-01 15:00:00,201.548430001,21.02
2015-01-01 23:00:00,2015-01-01 16:00:00,230.749581669,19.94
2015-01-02 00:00:00,2015-01-01 17:00:00,290.73843777800005,21.02
2015-01-02 01:00:00,2015-01-01 18:00:00,323.186359446,19.94
2015-01-02 02:00:00,2015-01-01 19:00:00,358.33358944599996,19.94
2015-01-02 03:00:00,2015-01-01 20:00:00,347.46647083100004,19.94
2015-01-02 04:00:00,2015-01-01 21:00:00,367.29193222,21.02
2015-01-02 05:00:00,2015-01-01 22:00:00,359.39205333499996,21.02
2015-01-02 06:00:00,2015-01-01 23:00:00,358.468188054,19.04
2015-01-02 07:00:00,2015-01-02 00:00:00,355.827648611,19.04
2015-01-02 08:00:00,2015-01-02 01:00:00,329.59472083500003,17.96
2015-01-02 09:00:00,2015-01-02 02:00:00,342.086787777,17.96
2015-01-02 10:00:00,2015-01-02 03:00:00,354.657750835,14.0
2015-01-02 11:00:00,2015-01-02 04:00:00,343.996459446,15.08
2015-01-02 12:00:00,2015-01-02 05:00:00,357.894262775,12.92
2015-01-02 13:00:00,2015-01-02 06:00:00,358.67377,14.0
2015-01-02 14:00:00,2015-01-02 07:00:00,354.735708888,15.98
2015-01-02 15:00:00,2015-01-02 08:00:00,404.502918057,17.06
2015-01-02 16:00:00,2015-01-02 09:00:00,391.26738833,19.04
2015-01-02 17:00:00,2015-01-02 10:00:00,347.495078054,21.02
2015-01-02 18:00:00,2015-01-02 11:00:00,310.381016942,26.06
2015-01-02 19:00:00,2015-01-02 12:00:00,242.416565277,30.02
2015-01-02 20:00:00,2015-01-02 13:00:00,214.875075276,30.92
