utc,cpt,kw,tmpf
2015-01-01 06:00:00,2015-01-01 00:00:00,47.219951668,39.02
2015-01-01 07:00:00,2015-01-01 01:00:00,42.385737498,39.02
2015-01-01 08:00:00,2015-01-01 02:00:00,50.408953612,39.02
2015-01-01 09:00:00,2015-01-01 03:00:00,42.567281386,37.94
2015-01-01 10:00:00,2015-01-01 04:00:00,38.922860834,37.94
2015-01-01 11:00:00,2015-01-01 05:00:00,39.158605832999996,35.96
2015-01-01 12:00:00,2015-01-01 06:00:00,38.300794165,35.06
2015-01-01 13:00:00,2015-01-01 07:00:00,49.074663889,35.06
2015-01-01 14:00:00,2015-01-01 08:00:00,63.623962500000005,35.06
2015-01-01 15:00:00,2015-01-01 09:00:00,46.109972499,35.06
2015-01-01 16:00:00,2015-01-01 10:00:00,47.094853053,35.96
2015-01-01 17:00:00,2015-01-01 11:00:00,40.995799721,35.96
2015-01-01 18:00:00,2015-01-01 12:00:00,50.36041639,35.96
2015-01-01 19:00:00,2015-01-01 13:00:00,49.218722499,37.04
2015-01-01 20:00:00,2015-01-01 14:00:00,51.546334722,37.04
2015-01-01 21:00:00,2015-01-01 15:00:00,53.57744639,37.04
2015-01-01 22:00:00,2015-01-01 16:00:00,62.307617222000005,37.94
2015-01-01 23:00:00,2015-01-01 17:00:00,62.376632779,37.94
2015-01-02 00:00:00,2015-01-01 18:00:00,61.018975555,37.94
2015-01-02 01:00:00,2015-01-01 19:00:00,54.223717222,37.94
2015-01-02 02:00:00,2015-01-01 20:00:00,49.546596668,37.94
2015-01-02 03:00:00,2015-01-01 21:00:00,50.79127389,39.02
2015-01-02 04:00:00,2015-01-01 22:00:00,52.581161662,39.02
2015-01-02 05:00:00,2015-01-01 23:00:00,53.290105834,39.02
2015-01-02 06:00:00,2015-01-02 00:00:00,38.765042498999996,39.02
2015-01-02 07:00:00,2015-01-02 01:00:00,33.997990558,39.02
2015-01-02 08:00:00,2015-01-02 02:00:00,39.3846975,39.02
2015-01-02 09:00:00,2015-01-02 03:00:00,32.618214165,39.02
2015-01-02 10:00:00,2015-01-02 04:00:00,33.598359446,37.94
2015-01-02 11:00:00,2015-01-02 05:00:00,35.536491945,37.94
