utc,mw,tmpc
2017-01-01 00:00:00,73330.0,-0.762
2017-01-01 01:00:00,71806.0,-0.843
2017-01-01 02:00:00,68195.0,-0.934
2017-01-01 03:00:00,65672.0,-1.03
2017-01-01 04:00:00,64842.0,-1.127
2017-01-01 05:00:00,64454.0,-1.202
2017-01-01 06:00:00,64524.0,-1.225
2017-01-01 07:00:00,64855.0,-1.194
2017-01-01 08:00:00,66246.0,-0.618
2017-01-01 09:00:00,68222.0,0.403
2017-01-01 10:00:00,69688.0,1.568
2017-01-01 11:00:00,72008.0,2.651
2017-01-01 12:00:00,71056.0,3.421
2017-01-01 13:00:00,68243.0,3.718
2017-01-01 14:00:00,66403.0,3.341
2017-01-01 15:00:00,66053.0,2.093
2017-01-01 16:00:00,69303.0,1.195
2017-01-01 17:00:00,73364.0,0.996
2017-01-01 18:00:00,74695.0,0.825
2017-01-01 19:00:00,73274.0,0.674
2017-01-01 20:00:00,70978.0,0.529
2017-01-01 21:00:00,71702.0,0.489
2017-01-01 22:00:00,72428.0,0.48
2017-01-01 23:00:00,69366.0,0.396
2017-01-02 00:00:00,66988.0,0.307
2017-01-02 01:00:00,65675.0,0.232
2017-01-02 02:00:00,63066.0,0.201
2017-01-02 03:00:00,62297.0,0.182
2017-01-02 04:00:00,64296.0,0.185
2017-01-02 05:00:00,67976.0,0.214
2017-01-02 06:00:00,71995.0,0.252
2017-01-02 07:00:00,74893.0,0.308
2017-01-02 08:00:00,76875.0,0.975
2017-01-02 09:00:00,78624.0,1.93
2017-01-02 10:00:00,79837.0,2.699
2017-01-02 11:00:00,80947.0,3.347
2017-01-02 12:00:00,79519.0,3.715
2017-01-02 13:00:00,77813.0,3.717
2017-01-02 14:00:00,75739.0,3.198
2017-01-02 15:00:00,75511.0,2.112
2017-01-02 16:00:00,78799.0,1.292
2017-01-02 17:00:00,82562.0,0.992
2017-01-02 18:00:00,82535.0,0.663
2017-01-02 19:00:00,78425.0,0.382
2017-01-02 20:00:00,74836.0,0.147
2017-01-02 21:00:00,75000.0,-0.082
2017-01-02 22:00:00,75682.0,-0.326
2017-01-02 23:00:00,73185.0,-0.508
2017-01-03 00:00:00,70940.0,-0.702
2017-01-03 01:00:00,69855.0,-0.878
2017-01-03 02:00:00,67557.0,-1.049
2017-01-03 03:00:00,66819.0,-1.244
2017-01-03 04:00:00,69280.0,-1.428
2017-01-03 05:00:00,75148.0,-1.612
2017-01-03 06:00:00,81281.0,-1.807
2017-01-03 07:00:00,83749.0,-1.896
2017-01-03 08:00:00,84391.0,-1.249
2017-01-03 09:00:00,84577.0,-0.118
2017-01-03 10:00:00,84639.0,1.16
2017-01-03 11:00:00,84268.0,2.354
2017-01-03 12:00:00,82572.0,3.254
2017-01-03 13:00:00,80548.0,3.588
2017-01-03 14:00:00,78619.0,3.1
2017-01-03 15:00:00,78594.0,1.23
2017-01-03 16:00:00,82342.0,-0.305
2017-01-03 17:00:00,86820.0,-0.621
2017-01-03 18:00:00,86659.0,-0.848
2017-01-03 19:00:00,82357.0,-0.961
2017-01-03 20:00:00,78299.0,-1.052
2017-01-03 21:00:00,78174.0,-1.108
2017-01-03 22:00:00,78793.0,-1.14
2017-01-03 23:00:00,76157.0,-1.135
2017-01-04 00:00:00,74560.0,-1.104
2017-01-04 01:00:00,73166.0,-1.051
2017-01-04 02:00:00,70456.0,-0.951
2017-01-04 03:00:00,69522.0,-0.878
2017-01-04 04:00:00,71944.0,-0.852
2017-01-04 05:00:00,77391.0,-0.801
2017-01-04 06:00:00,83143.0,-0.73
2017-01-04 07:00:00,85806.0,-0.57
2017-01-04 08:00:00,86067.0,0.355
2017-01-04 09:00:00,86132.0,1.58
2017-01-04 10:00:00,86112.0,2.785
2017-01-04 11:00:00,85925.0,3.749
2017-01-04 12:00:00,84109.0,4.297
2017-01-04 13:00:00,81984.0,4.418
2017-01-04 14:00:00,79781.0,3.98
2017-01-04 15:00:00,79227.0,2.642
2017-01-04 16:00:00,82212.0,1.472
2017-01-04 17:00:00,85968.0,1.233
2017-01-04 18:00:00,85571.0,1.007
2017-01-04 19:00:00,81081.0,0.746
2017-01-04 20:00:00,77157.0,0.503
2017-01-04 21:00:00,76840.0,0.311
2017-01-04 22:00:00,77661.0,0.214
2017-01-04 23:00:00,75015.0,0.151
2017-01-05 00:00:00,73175.0,0.114
2017-01-05 01:00:00,71570.0,0.091
2017-01-05 02:00:00,68731.0,0.033
2017-01-05 03:00:00,68192.0,-0.078
2017-01-05 04:00:00,70597.0,-0.165
2017-01-05 05:00:00,76429.0,-0.264
2017-01-05 06:00:00,82425.0,-0.37
2017-01-05 07:00:00,84569.0,-0.429
2017-01-05 08:00:00,84601.0,0.171
2017-01-05 09:00:00,84058.0,1.262
2017-01-05 10:00:00,83283.0,2.373
2017-01-05 11:00:00,82277.0,3.406
2017-01-05 12:00:00,80128.0,4.09
2017-01-05 13:00:00,78072.0,4.209
2017-01-05 14:00:00,76404.0,3.427
