utc,mw,tmpc
2017-01-01 00:00:00,22515.0,2.585
2017-01-01 01:00:00,21158.0,2.524
2017-01-01 02:00:00,19807.0,2.464
2017-01-01 03:00:00,19096.0,2.386
2017-01-01 04:00:00,19091.0,2.326
2017-01-01 05:00:00,19766.0,2.278
2017-01-01 06:00:00,20008.0,2.226
2017-01-01 07:00:00,20273.0,3.003
2017-01-01 08:00:00,21531.0,4.866
2017-01-01 09:00:00,22681.0,6.514
2017-01-01 10:00:00,23576.0,7.83
2017-01-01 11:00:00,23886.0,8.638
2017-01-01 12:00:00,22581.0,8.923
2017-01-01 13:00:00,21647.0,8.642
2017-01-01 14:00:00,22111.0,7.364
2017-01-01 15:00:00,23864.0,5.76
2017-01-01 16:00:00,27750.0,5.032
2017-01-01 17:00:00,29075.0,4.602
2017-01-01 18:00:00,29650.0,4.266
2017-01-01 19:00:00,29290.0,3.953
2017-01-01 20:00:00,28143.0,3.703
2017-01-01 21:00:00,26074.0,3.541
2017-01-01 22:00:00,23658.0,3.466
2017-01-01 23:00:00,21252.0,3.424
2017-01-02 00:00:00,19425.0,3.433
2017-01-02 01:00:00,18677.0,3.446
2017-01-02 02:00:00,18466.0,3.414
2017-01-02 03:00:00,18837.0,3.373
2017-01-02 04:00:00,20349.0,3.33
2017-01-02 05:00:00,23999.0,3.297
2017-01-02 06:00:00,28050.0,3.335
2017-01-02 07:00:00,31901.0,4.089
2017-01-02 08:00:00,34179.0,5.724
2017-01-02 09:00:00,34250.0,7.242
2017-01-02 10:00:00,34217.0,8.413
2017-01-02 11:00:00,33340.0,9.119
2017-01-02 12:00:00,32496.0,9.369
2017-01-02 13:00:00,33105.0,9.092
2017-01-02 14:00:00,34180.0,7.86
2017-01-02 15:00:00,35626.0,6.151
2017-01-02 16:00:00,39067.0,5.599
2017-01-02 17:00:00,39233.0,5.364
2017-01-02 18:00:00,38519.0,5.141
2017-01-02 19:00:00,36141.0,5.021
2017-01-02 20:00:00,33400.0,4.973
2017-01-02 21:00:00,30331.0,4.833
2017-01-02 22:00:00,27134.0,4.624
2017-01-02 23:00:00,24458.0,4.425
2017-01-03 00:00:00,22566.0,4.267
2017-01-03 01:00:00,21643.0,4.156
2017-01-03 02:00:00,21230.0,4.003
2017-01-03 03:00:00,21427.0,3.892
2017-01-03 04:00:00,22884.0,3.79
2017-01-03 05:00:00,26758.0,3.762
2017-01-03 06:00:00,30915.0,3.798
2017-01-03 07:00:00,35124.0,4.472
2017-01-03 08:00:00,37913.0,5.966
2017-01-03 09:00:00,38087.0,7.163
2017-01-03 10:00:00,37981.0,7.925
2017-01-03 11:00:00,36725.0,8.414
2017-01-03 12:00:00,35619.0,8.579
2017-01-03 13:00:00,35826.0,8.326
2017-01-03 14:00:00,36406.0,7.253
2017-01-03 15:00:00,37551.0,5.534
2017-01-03 16:00:00,40975.0,4.743
2017-01-03 17:00:00,40853.0,4.39
2017-01-03 18:00:00,40162.0,4.049
2017-01-03 19:00:00,37640.0,3.625
2017-01-03 20:00:00,34714.0,3.237
2017-01-03 21:00:00,31185.0,2.881
2017-01-03 22:00:00,27914.0,2.649
2017-01-03 23:00:00,24837.0,2.425
2017-01-04 00:00:00,22891.0,2.197
2017-01-04 01:00:00,21966.0,1.999
2017-01-04 02:00:00,21598.0,1.826
2017-01-04 03:00:00,21909.0,1.665
2017-01-04 04:00:00,23188.0,1.514
2017-01-04 05:00:00,27122.0,1.401
2017-01-04 06:00:00,31635.0,1.447
2017-01-04 07:00:00,35759.0,2.543
2017-01-04 08:00:00,38091.0,4.491
2017-01-04 09:00:00,38016.0,6.248
2017-01-04 10:00:00,37450.0,7.614
2017-01-04 11:00:00,35816.0,8.57
2017-01-04 12:00:00,35010.0,9.038
2017-01-04 13:00:00,35291.0,8.757
2017-01-04 14:00:00,35960.0,7.426
2017-01-04 15:00:00,37486.0,5.367
2017-01-04 16:00:00,40771.0,4.481
2017-01-04 17:00:00,41050.0,4.095
2017-01-04 18:00:00,40339.0,3.695
2017-01-04 19:00:00,38038.0,3.323
2017-01-04 20:00:00,35268.0,3.043
2017-01-04 21:00:00,31545.0,2.867
2017-01-04 22:00:00,28148.0,2.875
2017-01-04 23:00:00,24797.0,2.843
2017-01-05 00:00:00,22991.0,2.765
2017-01-05 01:00:00,22042.0,2.682
2017-01-05 02:00:00,21751.0,2.539
2017-01-05 03:00:00,21963.0,2.494
2017-01-05 04:00:00,23090.0,2.561
2017-01-05 05:00:00,26928.0,2.63
2017-01-05 06:00:00,31275.0,2.66
2017-01-05 07:00:00,35297.0,3.266
2017-01-05 08:00:00,37742.0,4.654
2017-01-05 09:00:00,38117.0,5.665
2017-01-05 10:00:00,38075.0,6.217
2017-01-05 11:00:00,36842.0,6.427
2017-01-05 12:00:00,35479.0,6.35
2017-01-05 13:00:00,35230.0,5.884
2017-01-05 14:00:00,35910.0,4.762
2017-01-05 15:00:00,37419.0,2.965
2017-01-05 16:00:00,40758.0,1.944
2017-01-05 17:00:00,40814.0,1.452
2017-01-05 18:00:00,39940.0,1.026
2017-01-05 19:00:00,37286.0,0.637
2017-01-05 20:00:00,34107.0,0.251
2017-01-05 21:00:00,30826.0,-0.124
2017-01-05 22:00:00,27932.0,-0.448
2017-01-05 23:00:00,25195.0,-0.729
2017-01-06 00:00:00,23186.0,-0.978
2017-01-06 01:00:00,22099.0,-1.19
2017-01-06 02:00:00,21515.0,-1.369
2017-01-06 03:00:00,21512.0,-1.501
2017-01-06 04:00:00,21883.0,-1.611
2017-01-06 05:00:00,23364.0,-1.745
2017-01-06 06:00:00,25128.0,-1.91
2017-01-06 07:00:00,26717.0,-1.434
2017-01-06 08:00:00,29247.0,-0.111
2017-01-06 09:00:00,31188.0,0.814
2017-01-06 10:00:00,32037.0,1.409
2017-01-06 11:00:00,31580.0,1.77
2017-01-06 12:00:00,29274.0,1.866
2017-01-06 13:00:00,28172.0,1.637
2017-01-06 14:00:00,28255.0,0.717
2017-01-06 15:00:00,29335.0,-1.044
2017-01-06 16:00:00,33189.0,-1.885
2017-01-06 17:00:00,34649.0,-2.12
2017-01-06 18:00:00,34985.0,-2.341
2017-01-06 19:00:00,33775.0,-2.569
2017-01-06 20:00:00,31912.0,-2.793
2017-01-06 21:00:00,29453.0,-2.994
2017-01-06 22:00:00,26750.0,-3.176
2017-01-06 23:00:00,24287.0,-3.326
2017-01-07 00:00:00,22415.0,-3.435
2017-01-07 01:00:00,21340.0,-3.537
2017-01-07 02:00:00,20833.0,-3.639
2017-01-07 03:00:00,20976.0,-3.742
2017-01-07 04:00:00,21962.0,-3.83
2017-01-07 05:00:00,24333.0,-3.879
2017-01-07 06:00:00,26741.0,-3.856
2017-01-07 07:00:00,28995.0,-3.112
2017-01-07 08:00:00,31808.0,-1.659
2017-01-07 09:00:00,32985.0,-0.427
2017-01-07 10:00:00,33046.0,0.447
2017-01-07 11:00:00,32350.0,1.028
2017-01-07 12:00:00,31679.0,1.298
2017-01-07 13:00:00,31047.0,1.195
2017-01-07 14:00:00,30865.0,0.495
2017-01-07 15:00:00,31956.0,-1.086
2017-01-07 16:00:00,36138.0,-1.871
2017-01-07 17:00:00,37700.0,-2.095
2017-01-07 18:00:00,37800.0,-2.24
2017-01-07 19:00:00,35669.0,-2.357
2017-01-07 20:00:00,32941.0,-2.441
2017-01-07 21:00:00,30130.0,-2.501
2017-01-07 22:00:00,27291.0,-2.521
2017-01-07 23:00:00,24499.0,-2.472
2017-01-08 00:00:00,22495.0,-2.382
2017-01-08 01:00:00,21316.0,-2.298
2017-01-08 02:00:00,20773.0,-2.242
2017-01-08 03:00:00,20618.0,-2.198
2017-01-08 04:00:00,21108.0,-2.15
2017-01-08 05:00:00,22405.0,-2.073
2017-01-08 06:00:00,23784.0,-1.953
2017-01-08 07:00:00,25455.0,-1.135
2017-01-08 08:00:00,28430.0,0.377
2017-01-08 09:00:00,30289.0,1.839
2017-01-08 10:00:00,30554.0,2.902
2017-01-08 11:00:00,30258.0,3.6
2017-01-08 12:00:00,29212.0,3.867
2017-01-08 13:00:00,28601.0,3.62
2017-01-08 14:00:00,28473.0,2.596
2017-01-08 15:00:00,29469.0,0.687
2017-01-08 16:00:00,33612.0,-0.161
2017-01-08 17:00:00,35094.0,-0.408
2017-01-08 18:00:00,35823.0,-0.616
2017-01-08 19:00:00,34637.0,-0.806
2017-01-08 20:00:00,32842.0,-0.961
2017-01-08 21:00:00,29843.0,-1.086
2017-01-08 22:00:00,26474.0,-1.204
2017-01-08 23:00:00,23901.0,-1.393
2017-01-09 00:00:00,22220.0,-1.608
2017-01-09 01:00:00,21490.0,-1.816
2017-01-09 02:00:00,21385.0,-1.981
2017-01-09 03:00:00,21963.0,-2.182
2017-01-09 04:00:00,24252.0,-2.33
2017-01-09 05:00:00,30324.0,-2.374
2017-01-09 06:00:00,37587.0,-2.294
2017-01-09 07:00:00,43015.0,-1.09
2017-01-09 08:00:00,45776.0,0.871
2017-01-09 09:00:00,46265.0,2.546
2017-01-09 10:00:00,45613.0,3.793
2017-01-09 11:00:00,42861.0,4.53
2017-01-09 12:00:00,42680.0,4.814
2017-01-09 13:00:00,43702.0,4.596
2017-01-09 14:00:00,44288.0,3.436
2017-01-09 15:00:00,45722.0,1.601
2017-01-09 16:00:00,48419.0,0.782
2017-01-09 17:00:00,47962.0,0.574
2017-01-09 18:00:00,46453.0,0.393
2017-01-09 19:00:00,43659.0,0.236
2017-01-09 20:00:00,40383.0,0.059
2017-01-09 21:00:00,35871.0,-0.139
2017-01-09 22:00:00,31989.0,-0.423
2017-01-09 23:00:00,28900.0,-0.709
2017-01-10 00:00:00,26930.0,-0.962
2017-01-10 01:00:00,25845.0,-1.164
2017-01-10 02:00:00,25622.0,-1.372
2017-01-10 03:00:00,25823.0,-1.51
2017-01-10 04:00:00,27671.0,-1.506
2017-01-10 05:00:00,33548.0,-1.36
2017-01-10 06:00:00,40711.0,-1.118
2017-01-10 07:00:00,46177.0,-0.179
2017-01-10 08:00:00,48433.0,0.938
2017-01-10 09:00:00,48631.0,1.714
2017-01-10 10:00:00,48323.0,2.224
2017-01-10 11:00:00,46029.0,2.491
2017-01-10 12:00:00,45499.0,2.525
2017-01-10 13:00:00,46964.0,2.307
2017-01-10 14:00:00,47404.0,1.68
2017-01-10 15:00:00,48608.0,0.434
2017-01-10 16:00:00,50333.0,-0.242
2017-01-10 17:00:00,49263.0,-0.492
2017-01-10 18:00:00,47648.0,-0.764
2017-01-10 19:00:00,44555.0,-1.078
2017-01-10 20:00:00,41283.0,-1.396
2017-01-10 21:00:00,36687.0,-1.646
2017-01-10 22:00:00,32778.0,-1.862
2017-01-10 23:00:00,29650.0,-2.076
2017-01-11 00:00:00,27685.0,-2.277
2017-01-11 01:00:00,26620.0,-2.482
2017-01-11 02:00:00,26276.0,-2.677
2017-01-11 03:00:00,26756.0,-2.828
2017-01-11 04:00:00,28667.0,-2.956
2017-01-11 05:00:00,34251.0,-3.061
2017-01-11 06:00:00,41484.0,-3.101
2017-01-11 07:00:00,46979.0,-2.02
2017-01-11 08:00:00,50048.0,-0.17
2017-01-11 09:00:00,50248.0,1.19
2017-01-11 10:00:00,49817.0,2.187
2017-01-11 11:00:00,46902.0,2.824
2017-01-11 12:00:00,45848.0,3.073
2017-01-11 13:00:00,46594.0,2.972
2017-01-11 14:00:00,46951.0,2.258
2017-01-11 15:00:00,47677.0,0.525
2017-01-11 16:00:00,50029.0,-0.312
2017-01-11 17:00:00,49415.0,-0.566
2017-01-11 18:00:00,48079.0,-0.787
2017-01-11 19:00:00,44958.0,-0.963
2017-01-11 20:00:00,41651.0,-1.124
2017-01-11 21:00:00,37165.0,-1.222
2017-01-11 22:00:00,33116.0,-1.244
2017-01-11 23:00:00,29898.0,-1.242
2017-01-12 00:00:00,27839.0,-1.265
2017-01-12 01:00:00,26798.0,-1.274
2017-01-12 02:00:00,26623.0,-1.247
2017-01-12 03:00:00,26810.0,-1.168
2017-01-12 04:00:00,28580.0,-1.039
2017-01-12 05:00:00,34474.0,-0.877
2017-01-12 06:00:00,41822.0,-0.611
2017-01-12 07:00:00,46758.0,0.658
2017-01-12 08:00:00,48761.0,2.575
2017-01-12 09:00:00,48572.0,4.166
2017-01-12 10:00:00,48061.0,5.335
2017-01-12 11:00:00,45184.0,6.039
2017-01-12 12:00:00,44745.0,6.297
2017-01-12 13:00:00,46251.0,5.942
