utc,mw,tmpc
2017-01-01 00:00:00,10794,1.129
2017-01-01 01:00:00,10320,0.931
2017-01-01 02:00:00,9930,0.616
2017-01-01 03:00:00,9679,0.183
2017-01-01 04:00:00,9652,-0.279
2017-01-01 05:00:00,9784,-0.782
2017-01-01 06:00:00,10117,-1.178
2017-01-01 07:00:00,10464,-1.477
2017-01-01 08:00:00,10852,-1.398
2017-01-01 09:00:00,11555,-0.959
2017-01-01 10:00:00,12136,-0.433
2017-01-01 11:00:00,12524,0.016
2017-01-01 12:00:00,12652,0.287
2017-01-01 13:00:00,12694,0.409
2017-01-01 14:00:00,12728,0.444
2017-01-01 15:00:00,13162,0.478
2017-01-01 16:00:00,14110,0.587
2017-01-01 17:00:00,14122,0.698
2017-01-01 18:00:00,13853,0.795
2017-01-01 19:00:00,13448,0.898
2017-01-01 20:00:00,12815,0.996
2017-01-01 21:00:00,12128,1.183
2017-01-01 22:00:00,11287,1.415
2017-01-01 23:00:00,10553,1.61
2017-01-02 00:00:00,10089,1.768
2017-01-02 01:00:00,9844,1.987
2017-01-02 02:00:00,9748,2.167
2017-01-02 03:00:00,9872,2.328
2017-01-02 04:00:00,10400,2.135
2017-01-02 05:00:00,11694,1.739
2017-01-02 06:00:00,13496,1.386
2017-01-02 07:00:00,15034,1.186
2017-01-02 08:00:00,15746,1.865
2017-01-02 09:00:00,15981,3.344
2017-01-02 10:00:00,15934,4.287
2017-01-02 11:00:00,15828,4.754
2017-01-02 12:00:00,15902,4.754
2017-01-02 13:00:00,15886,4.224
2017-01-02 14:00:00,15952,3.248
2017-01-02 15:00:00,16392,2.29
2017-01-02 16:00:00,17535,2.054
2017-01-02 17:00:00,16792,2.073
2017-01-02 18:00:00,16162,2.039
2017-01-02 19:00:00,15397,1.907
2017-01-02 20:00:00,14448,1.759
2017-01-02 21:00:00,13404,1.642
2017-01-02 22:00:00,12464,1.645
2017-01-02 23:00:00,11574,1.682
2017-01-03 00:00:00,10939,1.848
2017-01-03 01:00:00,10600,2.089
2017-01-03 02:00:00,10452,2.325
2017-01-03 03:00:00,10545,2.571
2017-01-03 04:00:00,11001,2.821
2017-01-03 05:00:00,12272,2.916
2017-01-03 06:00:00,14160,2.981
2017-01-03 07:00:00,15718,3.024
2017-01-03 08:00:00,16395,3.159
2017-01-03 09:00:00,16600,3.644
2017-01-03 10:00:00,16730,4.189
2017-01-03 11:00:00,16806,4.668
2017-01-03 12:00:00,16795,4.875
2017-01-03 13:00:00,16819,4.809
2017-01-03 14:00:00,16768,4.64
2017-01-03 15:00:00,17145,4.514
2017-01-03 16:00:00,17916,4.466
2017-01-03 17:00:00,16958,4.472
2017-01-03 18:00:00,16305,4.483
2017-01-03 19:00:00,15469,4.583
2017-01-03 20:00:00,14505,4.761
2017-01-03 21:00:00,13430,4.93
2017-01-03 22:00:00,12461,5.111
2017-01-03 23:00:00,11582,5.259
2017-01-04 00:00:00,11002,5.483
2017-01-04 01:00:00,10632,5.752
2017-01-04 02:00:00,10478,6.013
2017-01-04 03:00:00,10518,6.047
2017-01-04 04:00:00,10994,5.888
2017-01-04 05:00:00,12283,5.61
2017-01-04 06:00:00,14112,5.268
2017-01-04 07:00:00,15745,4.992
2017-01-04 08:00:00,16463,4.893
2017-01-04 09:00:00,16665,5.202
2017-01-04 10:00:00,16634,5.554
2017-01-04 11:00:00,16519,5.757
2017-01-04 12:00:00,16467,5.764
2017-01-04 13:00:00,16446,5.597
2017-01-04 14:00:00,16488,5.279
2017-01-04 15:00:00,16848,4.918
2017-01-04 16:00:00,17899,4.739
2017-01-04 17:00:00,17105,4.59
2017-01-04 18:00:00,16450,4.479
2017-01-04 19:00:00,15593,4.17
2017-01-04 20:00:00,14592,3.834
2017-01-04 21:00:00,13504,3.718
2017-01-04 22:00:00,12602,3.603
2017-01-04 23:00:00,11756,3.299
2017-01-05 00:00:00,11150,2.953
2017-01-05 01:00:00,10816,2.463
2017-01-05 02:00:00,10648,2.104
2017-01-05 03:00:00,10752,1.795
2017-01-05 04:00:00,11253,1.622
2017-01-05 05:00:00,12571,1.456
2017-01-05 06:00:00,14468,1.178
2017-01-05 07:00:00,16066,0.706
2017-01-05 08:00:00,16564,0.695
2017-01-05 09:00:00,16575,1.259
2017-01-05 10:00:00,16302,1.95
2017-01-05 11:00:00,15919,2.492
2017-01-05 12:00:00,15850,2.503
2017-01-05 13:00:00,15801,2.181
2017-01-05 14:00:00,16014,1.11
2017-01-05 15:00:00,16508,-0.944
2017-01-05 16:00:00,17706,-1.809
2017-01-05 17:00:00,17218,-2.342
2017-01-05 18:00:00,16612,-2.837
2017-01-05 19:00:00,15815,-3.2
2017-01-05 20:00:00,14828,-3.456
2017-01-05 21:00:00,13688,-3.639
2017-01-05 22:00:00,12738,-3.732
2017-01-05 23:00:00,11852,-3.658
2017-01-06 00:00:00,11287,-3.733
2017-01-06 01:00:00,10976,-3.851
2017-01-06 02:00:00,10856,-3.618
2017-01-06 03:00:00,10923,-3.345
2017-01-06 04:00:00,11414,-3.225
2017-01-06 05:00:00,12660,-3.306
2017-01-06 06:00:00,14516,-3.223
2017-01-06 07:00:00,16089,-3.108
2017-01-06 08:00:00,16735,-2.769
2017-01-06 09:00:00,16792,-1.96
2017-01-06 10:00:00,16680,-1.118
2017-01-06 11:00:00,16365,-0.519
2017-01-06 12:00:00,16234,-0.197
2017-01-06 13:00:00,16192,-0.178
2017-01-06 14:00:00,16316,-0.816
2017-01-06 15:00:00,16675,-2.326
2017-01-06 16:00:00,17822,-2.391
2017-01-06 17:00:00,17188,-2.159
2017-01-06 18:00:00,16468,-2.038
2017-01-06 19:00:00,15554,-1.966
2017-01-06 20:00:00,14428,-1.905
2017-01-06 21:00:00,13494,-1.791
2017-01-06 22:00:00,12676,-1.633
2017-01-06 23:00:00,11879,-1.467
2017-01-07 00:00:00,11231,-1.307
2017-01-07 01:00:00,10881,-1.235
2017-01-07 02:00:00,10690,-1.184
2017-01-07 03:00:00,10617,-1.218
2017-01-07 04:00:00,10737,-1.252
2017-01-07 05:00:00,11208,-1.207
2017-01-07 06:00:00,12088,-1.051
2017-01-07 07:00:00,13284,-0.898
2017-01-07 08:00:00,14376,-0.7
2017-01-07 09:00:00,15084,-0.358
2017-01-07 10:00:00,15386,0.107
2017-01-07 11:00:00,15416,0.584
2017-01-07 12:00:00,15246,1.0
2017-01-07 13:00:00,15067,1.35
2017-01-07 14:00:00,14934,1.674
2017-01-07 15:00:00,15126,2.057
2017-01-07 16:00:00,16057,2.499
2017-01-07 17:00:00,15563,2.842
2017-01-07 18:00:00,14971,3.029
2017-01-07 19:00:00,14249,3.104
2017-01-07 20:00:00,13391,3.063
2017-01-07 21:00:00,12657,2.904
2017-01-07 22:00:00,11868,2.797
2017-01-07 23:00:00,11128,2.778
2017-01-08 00:00:00,10594,2.729
2017-01-08 01:00:00,10180,2.632
2017-01-08 02:00:00,9943,2.53
2017-01-08 03:00:00,9888,2.48
2017-01-08 04:00:00,9992,2.452
2017-01-08 05:00:00,10321,2.359
2017-01-08 06:00:00,10825,2.221
2017-01-08 07:00:00,11574,2.037
2017-01-08 08:00:00,12298,2.593
2017-01-08 09:00:00,12890,3.791
2017-01-08 10:00:00,13300,4.748
2017-01-08 11:00:00,13594,5.226
2017-01-08 12:00:00,13619,5.464
2017-01-08 13:00:00,13526,5.31
2017-01-08 14:00:00,13465,4.935
2017-01-08 15:00:00,13872,4.524
2017-01-08 16:00:00,15138,4.326
2017-01-08 17:00:00,14994,3.969
2017-01-08 18:00:00,14583,3.415
2017-01-08 19:00:00,13980,2.906
2017-01-08 20:00:00,13269,2.397
2017-01-08 21:00:00,12434,2.145
2017-01-08 22:00:00,11502,2.073
2017-01-08 23:00:00,10812,1.968
2017-01-09 00:00:00,10428,1.779
2017-01-09 01:00:00,10220,1.577
2017-01-09 02:00:00,10128,1.366
2017-01-09 03:00:00,10266,1.11
2017-01-09 04:00:00,10883,0.903
2017-01-09 05:00:00,12494,0.793
2017-01-09 06:00:00,14880,0.79
2017-01-09 07:00:00,16553,0.875
2017-01-09 08:00:00,17047,1.193
2017-01-09 09:00:00,17128,1.692
2017-01-09 10:00:00,17159,2.227
2017-01-09 11:00:00,17058,2.741
2017-01-09 12:00:00,17206,3.121
2017-01-09 13:00:00,17098,3.378
2017-01-09 14:00:00,17098,3.535
2017-01-09 15:00:00,17382,3.558
2017-01-09 16:00:00,18066,3.563
2017-01-09 17:00:00,17316,3.585
2017-01-09 18:00:00,16641,3.513
2017-01-09 19:00:00,15694,3.362
2017-01-09 20:00:00,14648,3.196
2017-01-09 21:00:00,13534,3.098
2017-01-09 22:00:00,12606,3.067
2017-01-09 23:00:00,11714,3.116
2017-01-10 00:00:00,11184,3.284
2017-01-10 01:00:00,10899,3.403
2017-01-10 02:00:00,10750,3.305
2017-01-10 03:00:00,10772,3.003
2017-01-10 04:00:00,11298,2.814
2017-01-10 05:00:00,12816,2.567
2017-01-10 06:00:00,15185,2.321
2017-01-10 07:00:00,16676,2.189
2017-01-10 08:00:00,17020,2.808
2017-01-10 09:00:00,16953,3.915
2017-01-10 10:00:00,16870,4.54
2017-01-10 11:00:00,16660,4.771
2017-01-10 12:00:00,16639,4.827
2017-01-10 13:00:00,16577,4.719
2017-01-10 14:00:00,16590,4.06
2017-01-10 15:00:00,16890,3.254
2017-01-10 16:00:00,17858,3.097
2017-01-10 17:00:00,17241,3.087
2017-01-10 18:00:00,16642,3.048
2017-01-10 19:00:00,15730,3.073
2017-01-10 20:00:00,14706,3.259
2017-01-10 21:00:00,13536,3.531
2017-01-10 22:00:00,12549,3.581
2017-01-10 23:00:00,11643,3.521
2017-01-11 00:00:00,11041,3.504
2017-01-11 01:00:00,10724,3.535
2017-01-11 02:00:00,10598,3.465
2017-01-11 03:00:00,10690,3.33
2017-01-11 04:00:00,11254,3.163
2017-01-11 05:00:00,12755,3.022
2017-01-11 06:00:00,15122,3.096
2017-01-11 07:00:00,16785,3.825
2017-01-11 08:00:00,17314,4.904
2017-01-11 09:00:00,17414,5.992
2017-01-11 10:00:00,17296,7.116
2017-01-11 11:00:00,16886,7.987
2017-01-11 12:00:00,16741,8.252
2017-01-11 13:00:00,16773,7.922
2017-01-11 14:00:00,16842,7.197
2017-01-11 15:00:00,17055,6.302
2017-01-11 16:00:00,18112,5.801
2017-01-11 17:00:00,17456,5.609
2017-01-11 18:00:00,16738,5.43
2017-01-11 19:00:00,15827,5.185
2017-01-11 20:00:00,14844,4.972
2017-01-11 21:00:00,13576,4.854
2017-01-11 22:00:00,12579,4.779
2017-01-11 23:00:00,11675,4.76
2017-01-12 00:00:00,11060,4.832
2017-01-12 01:00:00,10760,4.87
2017-01-12 02:00:00,10638,4.814
2017-01-12 03:00:00,10709,4.631
2017-01-12 04:00:00,11196,4.44
2017-01-12 05:00:00,12786,4.264
2017-01-12 06:00:00,15213,4.081
2017-01-12 07:00:00,16740,3.941
2017-01-12 08:00:00,16991,4.229
2017-01-12 09:00:00,16929,4.869
2017-01-12 10:00:00,16896,5.491
2017-01-12 11:00:00,16613,5.758
2017-01-12 12:00:00,16779,5.574
2017-01-12 13:00:00,16865,5.209
2017-01-12 14:00:00,16932,4.739
2017-01-12 15:00:00,17243,4.181
2017-01-12 16:00:00,18001,3.797
2017-01-12 17:00:00,17358,3.293
2017-01-12 18:00:00,16867,2.315
2017-01-12 19:00:00,16049,1.582
2017-01-12 20:00:00,14954,1.348
2017-01-12 21:00:00,13831,1.244
2017-01-12 22:00:00,12920,1.207
2017-01-12 23:00:00,12010,1.179
2017-01-13 00:00:00,11421,1.133
2017-01-13 01:00:00,11156,1.306
2017-01-13 02:00:00,11100,1.682
2017-01-13 03:00:00,11098,1.995
2017-01-13 04:00:00,11575,2.177
2017-01-13 05:00:00,12996,2.201
2017-01-13 06:00:00,15332,2.122
2017-01-13 07:00:00,16961,2.041
2017-01-13 08:00:00,17606,1.995
2017-01-13 09:00:00,17773,2.183
2017-01-13 10:00:00,17543,2.409
2017-01-13 11:00:00,17010,2.551
2017-01-13 12:00:00,16926,2.499
2017-01-13 13:00:00,16973,2.312
2017-01-13 14:00:00,17010,2.162
2017-01-13 15:00:00,17323,2.314
2017-01-13 16:00:00,18220,2.744
2017-01-13 17:00:00,17427,3.175
2017-01-13 18:00:00,16601,3.426
2017-01-13 19:00:00,15624,3.511
2017-01-13 20:00:00,14503,3.425
2017-01-13 21:00:00,13501,3.321
2017-01-13 22:00:00,12734,3.197
2017-01-13 23:00:00,11884,2.981
2017-01-14 00:00:00,11246,2.797
2017-01-14 01:00:00,10772,2.682
2017-01-14 02:00:00,10568,2.528
2017-01-14 03:00:00,10584,2.227
2017-01-14 04:00:00,10751,1.876
2017-01-14 05:00:00,11258,1.707
2017-01-14 06:00:00,12226,1.666
2017-01-14 07:00:00,13392,1.728
2017-01-14 08:00:00,14414,1.956
2017-01-14 09:00:00,14888,2.35
2017-01-14 10:00:00,15082,2.597
2017-01-14 11:00:00,15108,2.778
2017-01-14 12:00:00,14954,2.891
2017-01-14 13:00:00,14628,3.006
2017-01-14 14:00:00,14451,2.922
2017-01-14 15:00:00,14688,2.447
2017-01-14 16:00:00,15857,1.82
2017-01-14 17:00:00,15666,1.639
2017-01-14 18:00:00,15086,1.594
2017-01-14 19:00:00,14270,1.625
2017-01-14 20:00:00,13475,1.653
2017-01-14 21:00:00,12760,1.711
2017-01-14 22:00:00,12031,1.642
2017-01-14 23:00:00,11336,1.457
2017-01-15 00:00:00,10741,1.263
2017-01-15 01:00:00,10340,1.071
2017-01-15 02:00:00,10168,0.829
2017-01-15 03:00:00,10148,0.619
2017-01-15 04:00:00,10238,0.164
2017-01-15 05:00:00,10476,-0.226
2017-01-15 06:00:00,11071,-0.432
2017-01-15 07:00:00,11819,-0.385
2017-01-15 08:00:00,12535,0.678
2017-01-15 09:00:00,13150,2.073
2017-01-15 10:00:00,13465,2.813
2017-01-15 11:00:00,13693,3.176
2017-01-15 12:00:00,13600,3.372
2017-01-15 13:00:00,13462,3.376
2017-01-15 14:00:00,13401,2.68
2017-01-15 15:00:00,13756,1.23
2017-01-15 16:00:00,15270,0.618
2017-01-15 17:00:00,15277,0.499
2017-01-15 18:00:00,14858,0.517
2017-01-15 19:00:00,14164,0.594
2017-01-15 20:00:00,13417,0.583
2017-01-15 21:00:00,12563,0.49
2017-01-15 22:00:00,11649,0.369
2017-01-15 23:00:00,10941,0.118
2017-01-16 00:00:00,10569,-0.217
2017-01-16 01:00:00,10416,-0.497
2017-01-16 02:00:00,10392,-0.804
2017-01-16 03:00:00,10524,-0.992
2017-01-16 04:00:00,11166,-1.024
2017-01-16 05:00:00,12790,-0.926
2017-01-16 06:00:00,15206,-1.126
2017-01-16 07:00:00,16814,-1.362
2017-01-16 08:00:00,17139,-0.98
2017-01-16 09:00:00,17045,-0.141
2017-01-16 10:00:00,16996,0.853
2017-01-16 11:00:00,16788,1.508
2017-01-16 12:00:00,16873,1.779
2017-01-16 13:00:00,16850,1.722
2017-01-16 14:00:00,16910,0.663
2017-01-16 15:00:00,17222,-1.674
2017-01-16 16:00:00,18080,-2.962
2017-01-16 17:00:00,17474,-3.537
2017-01-16 18:00:00,16844,-3.964
2017-01-16 19:00:00,16153,-4.309
2017-01-16 20:00:00,15109,-4.561
2017-01-16 21:00:00,13981,-4.639
2017-01-16 22:00:00,12863,-4.569
2017-01-16 23:00:00,12053,-4.476
2017-01-17 00:00:00,11555,-4.458
2017-01-17 01:00:00,11276,-4.308
2017-01-17 02:00:00,11101,-4.171
2017-01-17 03:00:00,10924,-4.132
2017-01-17 04:00:00,11316,-3.986
2017-01-17 05:00:00,12966,-3.845
2017-01-17 06:00:00,15536,-3.745
2017-01-17 07:00:00,17143,-3.734
2017-01-17 08:00:00,17530,-3.288
2017-01-17 09:00:00,17595,-2.562
2017-01-17 10:00:00,17468,-1.825
2017-01-17 11:00:00,17030,-1.115
2017-01-17 12:00:00,16918,-0.623
2017-01-17 13:00:00,16896,-0.458
2017-01-17 14:00:00,17018,-0.814
2017-01-17 15:00:00,17229,-2.139
2017-01-17 16:00:00,18063,-2.973
2017-01-17 17:00:00,17653,-3.334
2017-01-17 18:00:00,17118,-3.549
2017-01-17 19:00:00,16270,-3.731
2017-01-17 20:00:00,15243,-3.851
2017-01-17 21:00:00,14032,-3.905
2017-01-17 22:00:00,13000,-3.881
2017-01-17 23:00:00,12112,-3.816
2017-01-18 00:00:00,11614,-3.781
2017-01-18 01:00:00,11282,-3.765
2017-01-18 02:00:00,11196,-3.753
2017-01-18 03:00:00,11314,-3.798
2017-01-18 04:00:00,11804,-3.883
2017-01-18 05:00:00,13330,-4.016
2017-01-18 06:00:00,15792,-4.182
2017-01-18 07:00:00,17352,-4.337
2017-01-18 08:00:00,17844,-3.899
2017-01-18 09:00:00,17904,-2.903
2017-01-18 10:00:00,17830,-1.891
2017-01-18 11:00:00,17597,-1.029
2017-01-18 12:00:00,17504,-0.476
2017-01-18 13:00:00,17270,-0.28
2017-01-18 14:00:00,17256,-0.496
2017-01-18 15:00:00,17524,-1.442
2017-01-18 16:00:00,18464,-2.191
2017-01-18 17:00:00,17899,-2.547
2017-01-18 18:00:00,17224,-2.777
2017-01-18 19:00:00,16348,-2.942
2017-01-18 20:00:00,15289,-3.068
2017-01-18 21:00:00,14090,-3.149
2017-01-18 22:00:00,13094,-3.239
2017-01-18 23:00:00,12171,-3.357
2017-01-19 00:00:00,11618,-3.495
2017-01-19 01:00:00,11272,-3.616
2017-01-19 02:00:00,11161,-3.71
2017-01-19 03:00:00,11270,-3.802
2017-01-19 04:00:00,11826,-3.925
2017-01-19 05:00:00,13362,-4.038
2017-01-19 06:00:00,15814,-4.211
2017-01-19 07:00:00,17190,-4.392
2017-01-19 08:00:00,17419,-3.383
2017-01-19 09:00:00,17297,-1.878
2017-01-19 10:00:00,16956,-0.661
2017-01-19 11:00:00,16483,0.686
2017-01-19 12:00:00,16382,1.828
2017-01-19 13:00:00,16364,2.173
2017-01-19 14:00:00,16514,1.575
2017-01-19 15:00:00,16830,0.128
2017-01-19 16:00:00,17779,-0.674
2017-01-19 17:00:00,17602,-1.077
2017-01-19 18:00:00,17018,-1.453
2017-01-19 19:00:00,16216,-1.809
2017-01-19 20:00:00,15216,-2.16
2017-01-19 21:00:00,14086,-2.516
2017-01-19 22:00:00,12934,-2.857
2017-01-19 23:00:00,12058,-3.146
2017-01-20 00:00:00,11465,-3.39
2017-01-20 01:00:00,11160,-3.625
2017-01-20 02:00:00,11072,-3.869
2017-01-20 03:00:00,11129,-4.095
2017-01-20 04:00:00,11634,-4.319
2017-01-20 05:00:00,13086,-4.518
2017-01-20 06:00:00,15598,-4.684
2017-01-20 07:00:00,17184,-4.738
2017-01-20 08:00:00,17487,-3.368
2017-01-20 09:00:00,17286,-1.549
2017-01-20 10:00:00,17014,-0.329
2017-01-20 11:00:00,16661,0.85
2017-01-20 12:00:00,16578,1.73
2017-01-20 13:00:00,16570,1.992
2017-01-20 14:00:00,16543,1.374
2017-01-20 15:00:00,16728,0.111
2017-01-20 16:00:00,17579,-0.489
2017-01-20 17:00:00,17306,-0.66
2017-01-20 18:00:00,16637,-0.948
2017-01-20 19:00:00,15722,-1.299
2017-01-20 20:00:00,14626,-1.692
2017-01-20 21:00:00,13628,-2.046
2017-01-20 22:00:00,12858,-2.33
2017-01-20 23:00:00,12000,-2.571
2017-01-21 00:00:00,11338,-2.736
2017-01-21 01:00:00,10907,-2.831
2017-01-21 02:00:00,10689,-2.911
2017-01-21 03:00:00,10637,-3.042
2017-01-21 04:00:00,10785,-3.22
2017-01-21 05:00:00,11334,-3.381
2017-01-21 06:00:00,12355,-3.552
2017-01-21 07:00:00,13570,-3.653
2017-01-21 08:00:00,14582,-2.347
2017-01-21 09:00:00,14836,-0.9
