utc,ept,mw,tmpf
2019-01-01 05:00:00,2019-01-01 00:00:00,25457.52,48.9
2019-01-01 06:00:00,2019-01-01 01:00:00,24341.429,52.0
2019-01-01 07:00:00,2019-01-01 02:00:00,23409.071,53.1
2019-01-01 08:00:00,2019-01-01 03:00:00,22785.869,52.0
2019-01-01 09:00:00,2019-01-01 04:00:00,22584.078999999998,54.0
2019-01-01 10:00:00,2019-01-01 05:00:00,22864.420000000002,55.9
2019-01-01 11:00:00,2019-01-01 06:00:00,23395.256,57.9
2019-01-01 12:00:00,2019-01-01 07:00:00,23677.857,57.9
2019-01-01 13:00:00,2019-01-01 08:00:00,24214.04,57.9
2019-01-01 14:00:00,2019-01-01 09:00:00,25200.511,57.0
2019-01-01 15:00:00,2019-01-01 10:00:00,26137.757,61.0
2019-01-01 16:00:00,2019-01-01 11:00:00,26651.298,57.9
2019-01-01 17:00:00,2019-01-01 12:00:00,26459.484,55.9
2019-01-01 18:00:00,2019-01-01 13:00:00,26251.365,55.0
2019-01-01 19:00:00,2019-01-01 14:00:00,26473.052,55.9
2019-01-01 20:00:00,2019-01-01 15:00:00,27038.929,55.0
2019-01-01 21:00:00,2019-01-01 16:00:00,28685.602,53.1
2019-01-01 22:00:00,2019-01-01 17:00:00,31094.933,50.0
2019-01-01 23:00:00,2019-01-01 18:00:00,31226.814,48.9
2019-01-02 00:00:00,2019-01-01 19:00:00,30971.602,48.9
2019-01-02 01:00:00,2019-01-01 20:00:00,30354.774999999998,48.0
2019-01-02 02:00:00,2019-01-01 21:00:00,29238.396,46.9
2019-01-02 03:00:00,2019-01-01 22:00:00,27565.612,46.0
2019-01-02 04:00:00,2019-01-01 23:00:00,25972.327999999998,44.1
2019-01-02 05:00:00,2019-01-02 00:00:00,24899.414,44.1
2019-01-02 06:00:00,2019-01-02 01:00:00,24356.37,43.0
2019-01-02 07:00:00,2019-01-02 02:00:00,24217.627,42.1
2019-01-02 08:00:00,2019-01-02 03:00:00,24542.726,42.1
2019-01-02 09:00:00,2019-01-02 04:00:00,25467.844,39.9
2019-01-02 10:00:00,2019-01-02 05:00:00,27755.815,39.0
2019-01-02 11:00:00,2019-01-02 06:00:00,31082.91,37.9
2019-01-02 12:00:00,2019-01-02 07:00:00,33036.057,39.9
2019-01-02 13:00:00,2019-01-02 08:00:00,33111.222,37.9
2019-01-02 14:00:00,2019-01-02 09:00:00,32950.247,39.9
2019-01-02 15:00:00,2019-01-02 10:00:00,32854.498999999996,39.9
2019-01-02 16:00:00,2019-01-02 11:00:00,32588.103,41.0
2019-01-02 17:00:00,2019-01-02 12:00:00,32327.43,41.0
2019-01-02 18:00:00,2019-01-02 13:00:00,32571.962,42.1
2019-01-02 19:00:00,2019-01-02 14:00:00,32648.901,42.1
2019-01-02 20:00:00,2019-01-02 15:00:00,32992.165,42.1
2019-01-02 21:00:00,2019-01-02 16:00:00,34462.496,42.1
2019-01-02 22:00:00,2019-01-02 17:00:00,36262.684,41.0
2019-01-02 23:00:00,2019-01-02 18:00:00,36115.26,41.0
2019-01-03 00:00:00,2019-01-02 19:00:00,35496.754,39.9
2019-01-03 01:00:00,2019-01-02 20:00:00,34581.37,39.9
2019-01-03 02:00:00,2019-01-02 21:00:00,32909.805,39.9
2019-01-03 03:00:00,2019-01-02 22:00:00,30520.251,39.9
2019-01-03 04:00:00,2019-01-02 23:00:00,28340.727,39.9
2019-01-03 05:00:00,2019-01-03 00:00:00,26813.369,39.9
2019-01-03 06:00:00,2019-01-03 01:00:00,25893.925,41.0
2019-01-03 07:00:00,2019-01-03 02:00:00,25470.29,41.0
2019-01-03 08:00:00,2019-01-03 03:00:00,25417.264,41.0
