utc,ept,mw,tmpf
2019-01-01 05:00:00,2019-01-01 00:00:00,9088.189,64.0
2019-01-01 06:00:00,2019-01-01 01:00:00,8684.294,66.0
2019-01-01 07:00:00,2019-01-01 02:00:00,8323.87,66.9
2019-01-01 08:00:00,2019-01-01 03:00:00,8164.973,66.9
2019-01-01 09:00:00,2019-01-01 04:00:00,8126.982,66.0
2019-01-01 10:00:00,2019-01-01 05:00:00,8273.913,66.9
2019-01-01 11:00:00,2019-01-01 06:00:00,8469.216,68.0
2019-01-01 12:00:00,2019-01-01 07:00:00,8619.65,66.9
2019-01-01 13:00:00,2019-01-01 08:00:00,8758.063,66.9
2019-01-01 14:00:00,2019-01-01 09:00:00,9161.13,66.0
2019-01-01 15:00:00,2019-01-01 10:00:00,9452.693,66.0
2019-01-01 16:00:00,2019-01-01 11:00:00,9583.262,64.9
2019-01-01 17:00:00,2019-01-01 12:00:00,9517.417,66.0
2019-01-01 18:00:00,2019-01-01 13:00:00,9568.256,66.0
2019-01-01 19:00:00,2019-01-01 14:00:00,9573.961,66.0
2019-01-01 20:00:00,2019-01-01 15:00:00,9662.869,64.9
2019-01-01 21:00:00,2019-01-01 16:00:00,10009.888,64.0
2019-01-01 22:00:00,2019-01-01 17:00:00,10911.42,61.0
2019-01-01 23:00:00,2019-01-01 18:00:00,11000.56,57.0
2019-01-02 00:00:00,2019-01-01 19:00:00,10891.08,55.0
2019-01-02 01:00:00,2019-01-01 20:00:00,10718.838,52.0
2019-01-02 02:00:00,2019-01-01 21:00:00,10350.834,51.1
2019-01-02 03:00:00,2019-01-01 22:00:00,9853.355,50.0
2019-01-02 04:00:00,2019-01-01 23:00:00,9366.895,46.9
2019-01-02 05:00:00,2019-01-02 00:00:00,9080.596,48.0
2019-01-02 06:00:00,2019-01-02 01:00:00,8919.886,46.9
2019-01-02 07:00:00,2019-01-02 02:00:00,8997.022,44.1
2019-01-02 08:00:00,2019-01-02 03:00:00,9186.951,43.0
2019-01-02 09:00:00,2019-01-02 04:00:00,9565.748,43.0
2019-01-02 10:00:00,2019-01-02 05:00:00,10417.153,41.0
2019-01-02 11:00:00,2019-01-02 06:00:00,11463.406,39.9
2019-01-02 12:00:00,2019-01-02 07:00:00,12021.22,41.0
2019-01-02 13:00:00,2019-01-02 08:00:00,12066.87,41.0
2019-01-02 14:00:00,2019-01-02 09:00:00,11989.572,44.1
2019-01-02 15:00:00,2019-01-02 10:00:00,11906.07,45.0
2019-01-02 16:00:00,2019-01-02 11:00:00,11838.321,46.0
2019-01-02 17:00:00,2019-01-02 12:00:00,11728.029,46.9
2019-01-02 18:00:00,2019-01-02 13:00:00,11677.557,46.9
2019-01-02 19:00:00,2019-01-02 14:00:00,11578.303,48.0
2019-01-02 20:00:00,2019-01-02 15:00:00,11713.269,48.9
2019-01-02 21:00:00,2019-01-02 16:00:00,12131.809,48.9
2019-01-02 22:00:00,2019-01-02 17:00:00,12839.897,46.9
2019-01-02 23:00:00,2019-01-02 18:00:00,12823.815,46.9
2019-01-03 00:00:00,2019-01-02 19:00:00,12653.409,46.9
2019-01-03 01:00:00,2019-01-02 20:00:00,12338.827,46.0
2019-01-03 02:00:00,2019-01-02 21:00:00,11725.814,46.0
