utc,ept,mw,tmpf
2019-01-01 05:00:00,2019-01-01 00:00:00,37595.379,57.9
2019-01-01 06:00:00,2019-01-01 01:00:00,36246.587,54.0
2019-01-01 07:00:00,2019-01-01 02:00:00,35429.871999999996,50.0
2019-01-01 08:00:00,2019-01-01 03:00:00,35011.561,48.9
2019-01-01 09:00:00,2019-01-01 04:00:00,35128.803,46.0
2019-01-01 10:00:00,2019-01-01 05:00:00,35794.553,43.0
2019-01-01 11:00:00,2019-01-01 06:00:00,36643.064,43.0
2019-01-01 12:00:00,2019-01-01 07:00:00,37902.84,42.1
2019-01-01 13:00:00,2019-01-01 08:00:00,38654.614,41.0
2019-01-01 14:00:00,2019-01-01 09:00:00,39803.744,39.9
2019-01-01 15:00:00,2019-01-01 10:00:00,41145.456,39.9
2019-01-01 16:00:00,2019-01-01 11:00:00,42216.627,41.0
2019-01-01 17:00:00,2019-01-01 12:00:00,42861.6,42.1
2019-01-01 18:00:00,2019-01-01 13:00:00,42930.324,42.1
2019-01-01 19:00:00,2019-01-01 14:00:00,43156.846,41.0
2019-01-01 20:00:00,2019-01-01 15:00:00,43427.543,41.0
2019-01-01 21:00:00,2019-01-01 16:00:00,44272.221,41.0
2019-01-01 22:00:00,2019-01-01 17:00:00,46270.223,41.0
2019-01-01 23:00:00,2019-01-01 18:00:00,46891.033,39.9
2019-01-02 00:00:00,2019-01-01 19:00:00,46571.415,39.9
2019-01-02 01:00:00,2019-01-01 20:00:00,46003.906,39.9
2019-01-02 02:00:00,2019-01-01 21:00:00,45067.898,39.9
2019-01-02 03:00:00,2019-01-01 22:00:00,43484.002,39.9
2019-01-02 04:00:00,2019-01-01 23:00:00,41529.086,39.0
2019-01-02 05:00:00,2019-01-02 00:00:00,40295.685,39.0
2019-01-02 06:00:00,2019-01-02 01:00:00,39584.985,39.0
2019-01-02 07:00:00,2019-01-02 02:00:00,39220.115,37.9
2019-01-02 08:00:00,2019-01-02 03:00:00,39242.388,37.9
2019-01-02 09:00:00,2019-01-02 04:00:00,40122.308,37.9
2019-01-02 10:00:00,2019-01-02 05:00:00,42198.194,37.9
2019-01-02 11:00:00,2019-01-02 06:00:00,45634.544,37.9
2019-01-02 12:00:00,2019-01-02 07:00:00,48793.616,37.9
2019-01-02 13:00:00,2019-01-02 08:00:00,50174.182,37.9
2019-01-02 14:00:00,2019-01-02 09:00:00,50688.858,37.9
2019-01-02 15:00:00,2019-01-02 10:00:00,51367.068999999996,39.0
2019-01-02 16:00:00,2019-01-02 11:00:00,51605.991,39.9
2019-01-02 17:00:00,2019-01-02 12:00:00,51494.73,39.9
2019-01-02 18:00:00,2019-01-02 13:00:00,51562.835,39.9
2019-01-02 19:00:00,2019-01-02 14:00:00,51420.68,41.0
2019-01-02 20:00:00,2019-01-02 15:00:00,51072.13,42.1
2019-01-02 21:00:00,2019-01-02 16:00:00,51621.597,42.1
2019-01-02 22:00:00,2019-01-02 17:00:00,53531.967,42.1
2019-01-02 23:00:00,2019-01-02 18:00:00,53899.064,42.1
2019-01-03 00:00:00,2019-01-02 19:00:00,53226.13,42.1
2019-01-03 01:00:00,2019-01-02 20:00:00,52359.206,42.1
2019-01-03 02:00:00,2019-01-02 21:00:00,50725.303,42.1
2019-01-03 03:00:00,2019-01-02 22:00:00,48534.708999999995,41.0
2019-01-03 04:00:00,2019-01-02 23:00:00,45940.611,39.0
2019-01-03 05:00:00,2019-01-03 00:00:00,43966.232,37.9
2019-01-03 06:00:00,2019-01-03 01:00:00,42912.025,36.0
2019-01-03 07:00:00,2019-01-03 02:00:00,42445.634,35.1
2019-01-03 08:00:00,2019-01-03 03:00:00,42351.992,35.1
2019-01-03 09:00:00,2019-01-03 04:00:00,42968.095,34.0
2019-01-03 10:00:00,2019-01-03 05:00:00,44903.116,34.0
2019-01-03 11:00:00,2019-01-03 06:00:00,48346.06,34.0
2019-01-03 12:00:00,2019-01-03 07:00:00,51192.881,34.0
2019-01-03 13:00:00,2019-01-03 08:00:00,51753.718,34.0
2019-01-03 14:00:00,2019-01-03 09:00:00,51669.623,34.0
2019-01-03 15:00:00,2019-01-03 10:00:00,51907.832,34.0
2019-01-03 16:00:00,2019-01-03 11:00:00,51497.225,34.0
2019-01-03 17:00:00,2019-01-03 12:00:00,51067.98,35.1
2019-01-03 18:00:00,2019-01-03 13:00:00,50315.271,36.0
2019-01-03 19:00:00,2019-01-03 14:00:00,49527.875,37.9
2019-01-03 20:00:00,2019-01-03 15:00:00,49273.028,39.0
2019-01-03 21:00:00,2019-01-03 16:00:00,49620.076,37.9
2019-01-03 22:00:00,2019-01-03 17:00:00,52467.144,37.0
2019-01-03 23:00:00,2019-01-03 18:00:00,54157.938,35.1
2019-01-04 00:00:00,2019-01-03 19:00:00,53984.959,34.0
2019-01-04 01:00:00,2019-01-03 20:00:00,53463.475,34.0
2019-01-04 02:00:00,2019-01-03 21:00:00,52164.287000000004,34.0
2019-01-04 03:00:00,2019-01-03 22:00:00,49949.741,30.9
2019-01-04 04:00:00,2019-01-03 23:00:00,47621.386,30.9
2019-01-04 05:00:00,2019-01-04 00:00:00,45792.867,30.9
2019-01-04 06:00:00,2019-01-04 01:00:00,44761.924,32.0
2019-01-04 07:00:00,2019-01-04 02:00:00,44213.55,30.9
